frame_idx,track_id,similarity_score,bbox_x1,bbox_y1,bbox_x2,bbox_y2
14,1,0.731,116,373,298,831
14,2,0.8085,290,371,447,824
14,3,0.6946,1640,299,1919,928
14,4,0.5494,1457,432,1536,725
14,6,0.5889,812,259,1063,1046
14,7,0.9411,471,365,634,822
14,8,0.595,1501,369,1691,838
14,9,0.6035,629,440,747,754
14,5,0.6725,785,444,881,772
15,1,0.72,116,373,297,831
15,2,0.8022,290,371,444,820
15,3,0.6857,1638,297,1919,929
15,6,0.5947,818,253,1057,1044
15,7,0.9424,467,359,631,816
15,8,0.5748,1498,366,1675,836
15,9,0.5941,637,436,751,754
16,1,0.7126,117,373,295,830
16,2,0.7994,287,372,444,821
16,3,0.6772,1638,297,1913,927
16,6,0.5922,816,252,1058,1023
16,7,0.9372,461,357,628,812
16,8,0.5804,1493,366,1658,833
16,9,0.5929,637,437,751,755
16,4,0.5396,1457,428,1535,699
17,1,0.7201,116,374,295,827
17,2,0.8103,286,374,443,822
17,3,0.6855,1633,295,1917,928
17,6,0.5989,817,251,1063,1016
17,7,0.9322,461,357,628,814
17,8,0.5731,1476,368,1655,831
17,9,0.5922,641,435,755,758
18,1,0.7075,118,375,291,826
18,2,0.825,282,379,440,823
18,3,0.7122,1627,289,1919,936
18,6,0.5824,814,250,1047,1006
18,7,0.9337,455,361,624,813
18,8,0.5837,1466,366,1655,829
18,9,0.602,641,433,758,759
19,1,0.705,118,380,289,823
19,2,0.8237,279,383,439,825
19,3,0.7216,1623,287,1920,935
19,6,0.5985,812,248,1060,1002
19,7,0.9282,448,361,625,813
19,8,0.6112,1456,373,1628,828
19,9,0.6053,644,433,761,759
20,1,0.707,120,384,286,822
20,2,0.8226,280,388,437,825
20,3,0.7029,1614,285,1902,933
20,6,0.6074,812,247,1054,1003
20,7,0.9367,446,360,620,813
20,8,0.616,1447,376,1617,833
20,9,0.6022,644,435,758,758
21,1,0.7017,122,386,284,823
21,2,0.8203,279,390,438,822
21,3,0.6829,1608,286,1872,927
21,6,0.6219,813,250,1053,1005
21,7,0.9143,446,362,609,813
21,8,0.6294,1429,378,1611,833
21,9,0.5992,650,437,766,759
22,1,0.7019,122,388,282,823
22,2,0.8246,279,392,437,821
22,3,0.6755,1598,287,1868,924
22,6,0.6169,813,255,1056,1005
22,7,0.922,440,364,587,823
22,8,0.5954,1421,382,1601,834
22,9,0.582,655,437,775,758
23,1,0.7037,120,390,283,817
23,2,0.8177,278,394,436,821
23,3,0.687,1595,286,1866,923
23,6,0.5713,813,274,1026,1007
23,7,0.9216,438,366,587,816
23,8,0.601,1404,381,1596,836
23,9,0.5779,658,439,782,759
24,1,0.7125,120,389,280,821
24,2,0.8143,279,394,433,821
24,3,0.6846,1590,286,1856,923
24,6,0.56,814,277,1021,1004
24,7,0.9174,433,372,576,819
24,8,0.5665,1393,385,1590,832
24,9,0.5848,659,443,783,761
25,1,0.7011,120,391,277,817
25,2,0.8424,278,394,432,818
25,3,0.6774,1585,287,1850,926
25,6,0.5723,813,281,1032,1004
25,7,0.9191,429,373,571,815
25,8,0.5679,1385,388,1589,829
25,9,0.5995,663,446,784,765
26,1,0.7184,120,390,276,819
26,2,0.8579,277,394,426,813
26,3,0.6661,1580,287,1848,926
26,6,0.5778,814,288,1024,1002
26,7,0.916,427,374,568,810
26,8,0.5687,1380,390,1586,827
26,9,0.5994,665,442,790,766
27,1,0.7248,117,390,269,820
27,2,0.8473,276,394,423,818
27,3,0.6569,1574,286,1843,926
27,6,0.5728,816,292,1033,999
27,7,0.9119,427,375,564,814
27,8,0.5631,1375,391,1582,822
27,9,0.6104,666,442,799,768
27,10,0.6612,547,408,648,775
28,1,0.7425,122,390,267,816
28,2,0.845,274,393,419,810
28,3,0.6523,1570,291,1836,930
28,6,0.5696,821,294,1042,994
28,7,0.8926,426,377,567,814
28,8,0.5554,1375,389,1578,826
28,9,0.6053,668,439,805,770
28,10,0.6274,552,408,653,775
29,1,0.7545,119,390,265,808
29,2,0.8281,274,392,415,807
29,3,0.6636,1569,290,1835,925
29,6,0.5705,826,299,1052,984
29,7,0.8822,422,380,569,813
29,8,0.5323,1372,387,1562,825
29,9,0.5975,669,439,808,768
29,10,0.6179,554,409,660,775
29,11,0.6746,1785,356,1919,863
30,1,0.7532,117,389,263,806
30,2,0.8187,272,391,413,806
30,3,0.6703,1567,293,1816,925
30,6,0.5779,829,298,1053,980
30,7,0.892,420,380,573,813
30,8,0.5562,1376,387,1548,820
30,9,0.5748,672,436,811,765
30,10,0.6312,557,409,666,772
30,11,0.6992,1756,364,1919,860
31,1,0.7469,116,388,266,807
31,2,0.8062,271,392,410,805
31,3,0.6722,1563,294,1815,923
31,6,0.5876,829,297,1049,975
31,7,0.885,417,380,565,811
31,8,0.5718,1379,386,1537,812
31,9,0.5893,675,434,814,766
31,10,0.6304,557,409,673,774
31,11,0.7024,1750,362,1919,858
32,1,0.7446,114,387,268,807
32,2,0.8158,265,392,409,806
32,3,0.6864,1559,292,1816,923
32,6,0.5918,831,295,1070,960
32,7,0.8784,414,380,562,810
32,8,0.5397,1382,386,1535,810
32,9,0.5991,677,431,816,764
32,10,0.658,555,409,674,774
32,11,0.7247,1764,357,1919,860
33,1,0.7384,114,388,267,807
33,2,0.8158,265,394,408,806
33,3,0.6904,1556,297,1788,919
33,6,0.5799,833,295,1048,949
33,7,0.8815,414,380,561,804
33,8,0.591,1388,390,1529,811
33,9,0.6364,680,431,821,764
33,10,0.6529,557,410,678,775
33,11,0.7218,1763,358,1919,863
34,1,0.742,114,388,265,807
34,2,0.8003,264,395,408,804
34,3,0.6706,1554,296,1787,917
34,6,0.5893,834,295,1067,943
34,7,0.8881,413,380,561,800
34,8,0.5717,1388,392,1523,813
34,9,0.644,679,436,822,766
34,10,0.6592,560,410,679,776
34,11,0.7153,1758,356,1920,862
35,1,0.7524,114,390,263,806
35,2,0.8036,263,397,407,802
35,3,0.6894,1554,303,1784,918
35,6,0.5827,836,295,1053,938
35,7,0.8807,414,380,557,801
35,8,0.5762,1381,387,1518,810
35,9,0.6471,679,435,823,769
35,10,0.6549,561,410,679,778
35,11,0.7018,1750,354,1919,864
36,1,0.7495,116,392,259,805
36,2,0.801,263,400,407,801
36,3,0.7009,1555,306,1782,916
36,6,0.597,838,295,1055,936
36,7,0.8732,412,380,557,802
36,8,0.5892,1373,393,1513,809
36,9,0.6391,680,434,825,769
36,10,0.6361,562,408,678,778
36,11,0.6874,1742,352,1914,862
37,1,0.745,117,393,258,805
37,2,0.7761,261,400,406,802
37,3,0.6972,1554,304,1777,913
37,6,0.6127,842,294,1055,934
37,7,0.8782,411,379,551,801
37,8,0.6065,1348,393,1502,808
37,9,0.6417,684,433,825,769
37,10,0.6266,556,408,683,780
37,11,0.681,1737,352,1895,862
38,1,0.7428,118,395,256,804
38,2,0.7577,261,402,407,801
38,3,0.6913,1555,302,1778,911
38,6,0.6072,846,299,1043,933
38,7,0.8773,409,378,550,800
38,8,0.5979,1330,398,1496,807
38,9,0.6277,685,433,825,771
38,10,0.6316,561,405,682,782
38,11,0.6949,1726,350,1883,851
39,1,0.7505,119,397,254,804
39,2,0.7869,257,404,401,802
39,3,0.6905,1552,303,1773,906
39,6,0.5888,846,306,1045,936
39,7,0.8906,403,376,546,799
39,8,0.5986,1315,399,1486,808
39,9,0.5979,690,432,827,773
39,10,0.6243,561,402,687,782
39,11,0.7063,1717,353,1869,860
40,1,0.7541,119,400,255,803
40,2,0.7846,253,406,395,800
40,3,0.6944,1551,306,1775,900
40,6,0.6016,849,308,1034,934
40,7,0.9008,399,376,544,800
40,8,0.6055,1306,398,1485,809
40,9,0.6052,694,433,828,772
40,10,0.6327,562,400,691,785
40,11,0.6886,1719,353,1855,867
41,1,0.7678,121,401,254,804
41,2,0.8045,250,407,390,799
41,3,0.6761,1551,310,1777,894
41,6,0.6001,851,317,1034,934
41,7,0.9144,396,379,544,800
41,8,0.593,1302,407,1479,812
41,9,0.606,695,431,831,774
41,10,0.6304,565,399,696,786
41,11,0.6954,1706,347,1845,873
42,1,0.7711,122,403,253,802
42,2,0.7871,247,406,388,799
42,3,0.6626,1551,311,1784,891
42,6,0.6132,852,322,1035,929
42,7,0.9112,394,381,540,800
42,8,0.5919,1303,413,1478,812
42,9,0.628,699,429,831,773
42,10,0.6475,563,396,695,787
42,11,0.6846,1694,348,1847,870
43,1,0.7595,123,403,253,802
43,2,0.7989,245,405,383,801
43,3,0.6604,1550,308,1810,893
43,6,0.6095,852,324,1050,927
43,7,0.8907,391,384,534,799
43,8,0.6045,1301,404,1476,808
43,9,0.6136,701,427,833,774
43,10,0.6275,570,394,696,784
43,12,0.6053,1788,252,1919,880
44,1,0.7635,122,403,253,801
44,2,0.7892,240,404,382,800
44,3,0.6682,1548,310,1810,890
44,6,0.5896,853,327,1061,925
44,7,0.906,392,388,532,799
44,8,0.6151,1300,405,1476,807
44,9,0.625,701,430,834,775
44,10,0.6306,574,395,698,785
44,12,0.6377,1754,248,1919,921
45,1,0.7645,122,402,252,800
45,2,0.786,238,402,378,799
45,3,0.6604,1546,312,1804,887
45,6,0.6135,854,327,1048,921
45,7,0.8976,393,392,530,797
45,8,0.6127,1299,406,1473,806
45,9,0.6244,702,427,834,776
45,10,0.6255,576,395,700,794
45,12,0.5775,1729,265,1919,917
46,1,0.7528,123,402,252,798
46,2,0.7679,236,397,373,798
46,3,0.6538,1541,318,1787,885
46,6,0.5965,856,327,1058,918
46,7,0.8953,393,395,525,796
46,8,0.5933,1301,412,1470,805
46,9,0.6161,705,423,834,776
46,10,0.6321,576,396,701,797
46,12,0.5743,1717,261,1918,920
47,1,0.7577,122,401,252,794
47,2,0.7698,234,396,371,797
47,3,0.6517,1537,324,1783,884
47,6,0.6004,858,326,1050,909
47,7,0.8974,393,395,524,795
47,8,0.5877,1300,407,1463,804
47,9,0.6089,704,421,834,776
47,10,0.6331,576,395,700,798
47,12,0.5742,1705,262,1918,936
48,1,0.7467,119,400,250,794
48,2,0.769,232,395,370,797
48,3,0.6759,1536,329,1765,884
48,6,0.5826,860,325,1050,898
48,7,0.8993,390,394,520,797
48,8,0.5643,1300,405,1454,802
48,9,0.6254,705,420,834,776
48,10,0.6408,579,395,702,797
48,12,0.5293,1696,263,1918,938
49,1,0.7265,116,400,251,794
49,2,0.7649,230,398,369,794
49,3,0.6827,1535,332,1764,885
49,6,0.5896,862,322,1063,892
49,7,0.8853,386,392,514,796
49,8,0.553,1298,401,1441,798
49,9,0.6266,712,421,838,777
49,10,0.6473,581,396,705,798
49,12,0.5617,1689,264,1919,945
50,1,0.7307,113,401,250,793
50,2,0.7768,230,399,369,792
50,3,0.687,1532,332,1749,881
50,6,0.5904,866,323,1067,888
50,7,0.8789,382,394,511,794
50,8,0.5548,1290,401,1429,797
50,9,0.6206,716,421,838,778
50,10,0.6398,582,396,709,797
50,12,0.5472,1685,269,1918,942
51,1,0.7313,116,401,251,793
51,2,0.7706,230,399,369,792
51,3,0.6979,1532,335,1741,876
51,6,0.6019,867,324,1068,884
51,7,0.8671,382,394,508,791
51,8,0.5707,1280,400,1419,797
51,9,0.6369,719,422,840,778
51,10,0.6347,582,397,713,790
51,12,0.5444,1673,270,1918,937
52,1,0.7298,115,401,251,790
52,2,0.7514,229,402,367,790
52,3,0.7224,1530,333,1735,875
52,6,0.6014,871,327,1072,884
52,7,0.8743,383,392,508,790
52,8,0.5819,1266,401,1419,795
52,9,0.6359,721,422,841,781
52,10,0.6353,584,398,717,791
52,12,0.5526,1672,272,1917,928
52,13,0.6257,505,450,587,729
53,1,0.728,116,402,252,788
53,2,0.7491,229,405,366,789
53,3,0.725,1527,331,1726,876
53,6,0.5848,876,333,1069,882
53,7,0.8525,380,392,507,787
53,8,0.565,1258,403,1412,796
53,9,0.6229,721,422,842,782
53,10,0.6379,586,401,718,794
53,12,0.5197,1669,272,1908,910
53,13,0.6199,509,450,592,731
54,1,0.7296,117,404,252,789
54,2,0.7685,229,406,364,788
54,3,0.7306,1527,331,1717,877
54,6,0.6067,880,335,1058,883
54,7,0.8579,377,390,505,781
54,8,0.5731,1251,408,1410,795
54,9,0.6049,716,422,845,783
54,10,0.6503,586,401,718,796
54,12,0.5126,1662,274,1908,906
54,13,0.6063,510,454,593,728
55,1,0.7158,116,405,251,786
55,2,0.7589,232,409,365,789
55,3,0.7405,1526,329,1711,875
55,6,0.602,890,346,1055,883
55,7,0.8635,376,391,505,780
55,8,0.5641,1242,405,1405,795
55,9,0.6001,713,422,846,786
55,10,0.6552,587,398,720,797
55,12,0.5211,1658,276,1879,899
55,13,0.6323,507,444,608,729
56,1,0.7045,117,408,249,786
56,2,0.7474,234,412,366,791
56,3,0.7535,1525,335,1706,871
56,6,0.5696,896,352,1057,882
56,7,0.8643,375,391,508,780
56,8,0.5802,1236,410,1401,795
56,9,0.5944,716,422,848,787
56,10,0.6357,590,397,721,799
56,12,0.5223,1652,277,1868,901
56,13,0.6458,509,441,610,728
57,1,0.6914,116,410,248,787
57,2,0.7455,235,413,365,790
57,3,0.7553,1512,334,1711,873
57,6,0.5768,908,355,1059,881
57,7,0.8747,371,392,509,779
57,8,0.5793,1230,413,1397,795
57,9,0.6024,718,422,848,791
57,10,0.6065,594,395,720,799
57,12,0.5236,1648,279,1860,892
57,13,0.6236,508,439,607,727
58,1,0.7185,115,411,249,787
58,2,0.7359,238,414,363,787
58,3,0.7712,1506,336,1688,868
58,6,0.5738,912,355,1061,880
58,7,0.8824,370,392,513,779
58,8,0.5667,1227,421,1386,795
58,9,0.6048,722,422,848,792
58,10,0.6062,594,392,724,798
58,12,0.5539,1631,276,1842,884
58,13,0.6413,512,435,607,729
59,1,0.7238,113,413,247,784
59,2,0.7511,239,413,362,788
59,3,0.7661,1460,330,1677,864
59,6,0.5777,914,357,1061,878
59,7,0.8801,366,393,515,776
59,8,0.5539,1224,419,1380,795
59,9,0.5915,723,422,848,792
59,10,0.6047,595,389,726,798
59,12,0.5947,1600,289,1828,894
59,13,0.6217,512,434,607,730
60,1,0.7253,107,413,246,782
60,2,0.7544,240,412,362,786
60,3,0.7741,1463,330,1666,857
60,6,0.5744,915,357,1065,876
60,7,0.8797,364,397,515,777
60,8,0.5621,1220,417,1378,795
60,9,0.5899,724,421,849,793
60,10,0.6125,596,387,728,798
60,12,0.5395,1610,287,1806,884
60,13,0.6286,513,432,606,730
61,1,0.7235,106,413,246,780
61,2,0.7489,240,411,362,785
61,3,0.7778,1462,327,1661,841
61,6,0.5781,919,357,1086,872
61,7,0.8775,363,400,515,776
61,8,0.5573,1215,418,1375,793
61,9,0.5897,724,420,849,793
61,10,0.6132,599,384,734,798
61,13,0.6163,513,435,606,730
62,1,0.728,105,412,244,780
62,2,0.7615,239,409,361,781
62,3,0.7662,1449,327,1654,842
62,6,0.5882,924,358,1089,869
62,7,0.891,364,403,516,777
62,8,0.5508,1215,418,1371,792
62,9,0.6019,727,418,851,793
62,10,0.6064,601,380,738,798
62,13,0.6286,514,438,607,729
62,11,0.7698,1503,313,1715,878
62,12,0.6041,1591,295,1745,871
63,1,0.7192,107,411,243,778
63,2,0.7519,239,409,361,780
63,3,0.7381,1449,340,1637,840
63,6,0.5749,928,358,1076,860
63,7,0.8869,363,406,516,777
63,8,0.5683,1217,419,1369,793
63,9,0.5988,727,417,852,794
63,10,0.6019,601,380,740,798
63,13,0.6324,516,446,607,729
63,11,0.7396,1490,307,1711,875
63,12,0.6121,1579,304,1713,876
64,1,0.7079,104,410,243,773
64,2,0.7632,239,408,361,779
64,3,0.709,1429,335,1649,835
64,6,0.5607,930,355,1089,852
64,7,0.8795,365,408,516,777
64,8,0.5764,1217,419,1367,792
64,9,0.5957,732,416,855,794
64,10,0.6048,601,379,742,802
64,13,0.633,521,448,610,730
64,11,0.7095,1483,316,1687,871
65,1,0.7045,104,410,242,770
65,2,0.7667,238,408,361,777
65,6,0.5692,936,359,1104,851
65,7,0.877,364,409,514,778
65,8,0.5689,1216,417,1361,787
65,9,0.6032,734,415,858,794
65,10,0.6247,601,379,743,804
65,13,0.6312,517,453,609,731
65,11,0.6918,1478,326,1652,866
65,15,0.4705,1653,5,1919,1069
66,1,0.7046,108,410,241,770
66,2,0.7586,236,408,361,777
66,6,0.5566,941,357,1092,845
66,7,0.8974,368,409,512,778
66,8,0.5668,1218,416,1356,782
66,9,0.6058,735,415,861,794
66,10,0.6094,603,380,744,805
66,13,0.6347,520,450,615,731
66,15,0.4657,1594,7,1918,1065
66,3,0.6371,1417,382,1579,823
67,1,0.6983,109,409,241,771
67,2,0.7548,235,409,361,777
67,6,0.577,942,356,1080,844
67,7,0.9008,369,409,509,777
67,8,0.5545,1221,417,1351,778
67,9,0.6093,734,416,862,795
67,10,0.6146,604,380,747,806
67,13,0.641,530,446,635,734
67,15,0.4455,1561,4,1918,1066
67,3,0.6585,1414,389,1568,833
68,1,0.7001,108,407,241,774
68,2,0.7618,235,410,361,777
68,6,0.57,944,365,1079,845
68,7,0.9028,372,409,507,776
68,8,0.5336,1222,418,1346,778
68,9,0.5939,736,415,863,796
68,10,0.6301,604,381,748,809
68,13,0.6371,533,448,642,734
68,15,0.4313,1502,6,1918,1068
68,3,0.6799,1405,392,1540,821
69,1,0.7155,108,407,237,774
69,2,0.7537,234,413,361,776
69,6,0.56,944,368,1086,845
69,7,0.8904,373,408,506,776
69,8,0.5085,1226,418,1343,779
69,9,0.5978,735,415,865,797
69,10,0.6186,605,381,750,810
69,13,0.6362,536,451,644,734
69,15,0.4353,1443,6,1918,1070
70,1,0.7294,108,409,236,772
70,2,0.7457,233,414,361,777
70,6,0.5601,950,372,1090,847
70,7,0.8832,373,408,505,775
70,8,0.5388,1223,418,1340,778
70,9,0.599,736,415,866,799
70,10,0.6187,605,381,752,817
70,13,0.6327,539,450,642,734
70,15,0.4304,1385,5,1918,1069
71,1,0.7511,108,412,231,772
71,2,0.7313,232,417,361,776
71,6,0.5794,956,375,1086,846
71,7,0.8842,372,408,500,772
71,8,0.5531,1221,417,1336,778
71,9,0.6053,737,415,867,799
71,10,0.6258,608,381,754,820
71,13,0.6583,545,440,640,733
71,15,0.4372,1328,6,1919,1070
72,1,0.7438,109,416,229,771
72,2,0.7371,230,419,360,774
72,6,0.5904,958,377,1093,844
72,7,0.8701,372,407,498,770
72,8,0.5694,1211,419,1333,778
72,9,0.6117,738,415,868,800
72,10,0.6262,608,380,755,820
72,13,0.64,547,438,635,730
72,15,0.4394,1279,5,1919,1070
73,1,0.7574,114,418,230,770
73,2,0.7426,229,421,359,773
73,6,0.5992,957,378,1104,844
73,7,0.8642,371,407,496,769
73,8,0.5605,1204,419,1311,774
73,9,0.6094,742,413,870,800
73,10,0.6237,609,377,755,819
73,13,0.6343,550,446,625,727
73,15,0.4403,1242,3,1919,1069
74,1,0.7396,112,421,228,771
74,2,0.7561,229,422,357,775
74,6,0.5875,956,379,1115,842
74,7,0.8663,370,407,495,766
74,8,0.5931,1186,416,1309,774
74,9,0.6126,747,413,873,802
74,10,0.6209,611,376,754,819
74,13,0.6354,552,448,624,725
74,15,0.4495,1192,5,1918,1068
75,1,0.7516,116,421,227,771
75,2,0.7486,226,423,357,772
75,6,0.5798,956,380,1124,841
75,7,0.8772,371,407,493,766
75,9,0.6168,748,413,876,805
75,10,0.6047,611,374,755,820
75,13,0.619,554,449,627,725
75,15,0.4505,1173,6,1918,1069
76,1,0.741,117,421,227,772
76,2,0.7556,224,421,356,772
76,6,0.5823,959,376,1101,838
76,7,0.87,370,407,491,765
76,9,0.6043,749,415,876,806
76,10,0.5893,612,372,754,820
76,13,0.6317,557,456,623,711
76,15,0.4408,1163,6,1889,1070
77,1,0.7488,117,421,228,771
77,2,0.7658,225,421,355,772
77,6,0.5776,962,375,1116,836
77,7,0.8796,369,407,489,763
77,9,0.6105,752,412,878,805
77,10,0.6067,614,371,755,821
77,15,0.4405,1137,4,1861,1071
78,1,0.7342,117,421,229,774
78,2,0.7686,219,419,352,770
78,6,0.5783,963,376,1112,830
78,7,0.8908,366,408,488,762
78,9,0.619,755,408,889,805
78,10,0.6119,613,370,756,821
78,15,0.4448,1113,4,1842,1069
78,13,0.6508,568,456,639,725
79,1,0.7684,118,421,233,769
79,2,0.7829,215,418,351,769
79,6,0.5877,965,377,1109,824
79,7,0.8928,364,410,484,761
79,9,0.6325,756,405,893,806
79,10,0.623,612,369,761,820
79,15,0.4543,1096,5,1817,1072
79,13,0.6807,572,461,643,731
80,1,0.7535,118,419,237,769
80,2,0.7914,216,415,347,763
80,6,0.5956,966,374,1110,819
80,7,0.8836,362,412,483,760
80,9,0.6349,757,403,897,802
80,10,0.6145,613,368,766,818
80,15,0.4494,1081,4,1773,1074
80,13,0.6533,576,462,648,733
81,1,0.738,119,418,237,766
81,2,0.7824,215,415,347,762
81,6,0.5907,966,377,1110,818
81,7,0.8854,362,412,481,759
81,9,0.6371,760,400,902,802
81,10,0.6205,604,366,767,822
81,15,0.4571,1068,5,1758,1071
82,1,0.7207,120,417,238,764
82,2,0.774,214,414,345,762
82,6,0.591,967,380,1109,817
82,7,0.8848,366,415,478,761
82,9,0.6504,764,399,903,803
82,10,0.6361,598,366,769,825
82,15,0.4571,1057,4,1731,1071
83,1,0.7126,122,417,238,761
83,2,0.7413,217,415,344,761
83,6,0.6114,972,383,1106,817
83,7,0.8822,366,417,477,759
83,9,0.6449,765,398,904,805
83,10,0.614,609,364,771,827
83,15,0.4632,1053,5,1707,1070
84,1,0.7132,123,417,240,759
84,2,0.7636,216,415,346,759
84,6,0.5759,973,383,1103,816
84,7,0.877,365,419,474,759
84,9,0.6425,765,398,908,809
84,10,0.6178,610,364,773,827
84,15,0.4608,1038,4,1681,1070
84,16,0.7444,1788,326,1919,883
85,1,0.7121,124,418,238,759
85,2,0.7541,224,417,344,756
85,6,0.5681,977,383,1108,817
85,7,0.8809,363,420,472,759
85,9,0.6377,764,397,909,813
85,10,0.6271,609,365,772,827
85,15,0.4575,1034,5,1655,1070
85,16,0.7449,1785,328,1919,882
86,1,0.7131,124,419,238,758
86,2,0.7578,231,419,343,755
86,6,0.577,981,380,1118,814
86,7,0.8603,362,420,469,759
86,9,0.6471,767,397,912,816
86,10,0.6201,612,365,771,830
86,15,0.4618,1032,5,1630,1069
86,16,0.75,1781,325,1919,879
87,1,0.6988,125,419,239,758
87,2,0.7187,235,423,343,755
87,6,0.5803,982,378,1120,814
87,7,0.8603,359,418,466,758
87,9,0.6471,767,403,914,818
87,10,0.6291,618,369,772,829
87,15,0.4477,1043,4,1597,1069
87,16,0.7454,1776,324,1919,880
88,1,0.6975,126,420,240,758
88,2,0.7348,234,425,340,756
88,6,0.6108,987,379,1120,811
88,7,0.862,356,416,464,757
88,9,0.6478,769,402,914,821
88,10,0.6171,608,371,771,830
88,15,0.4397,1042,11,1572,1068
88,16,0.7688,1766,322,1919,884
88,17,0.6906,1589,357,1755,836
89,1,0.7075,126,419,246,754
89,2,0.7442,233,429,338,755
89,6,0.5968,987,377,1120,812
89,7,0.8548,354,415,464,756
89,9,0.6377,770,401,915,823
89,10,0.6303,620,372,773,833
89,15,0.4489,1057,17,1553,1072
89,16,0.7495,1749,326,1918,888
89,17,0.7232,1572,360,1753,830
90,1,0.7261,128,420,246,756
90,2,0.7584,234,433,337,757
90,6,0.5982,986,380,1119,810
90,7,0.8601,348,416,465,754
90,9,0.6312,771,400,914,825
90,10,0.6218,627,369,778,836
90,15,0.4375,1072,22,1536,1074
90,16,0.7286,1741,316,1918,881
90,17,0.7323,1572,361,1754,829
91,1,0.7349,127,421,248,756
91,2,0.738,234,432,339,756
91,6,0.5804,986,379,1116,809
91,7,0.8744,347,415,464,754
91,9,0.6374,771,398,915,828
91,10,0.6321,628,366,782,839
91,15,0.4373,1074,31,1511,1073
91,16,0.7314,1735,312,1917,881
91,17,0.738,1571,358,1751,833
